KOD	BENÄMNING	POANG
ARB201	IT-design                                                                                                               	7.5
ARB214	Datorer och lärande                                                                                                     	30
ARB301	Yrkeskunnande och teknologi                                                                                             	7.5
ARB302	IT's idéhistoria och könsteoretiska perspektiv                                                                          	7.5
ARB303	Projektledarskap                                                                                                        	7.5
ARB320	Kandidatarbete i MDA                                                                                                    	30
ARB400	Högskolans roll i samhällsutvecklingen                                                                                  	1.5
ARB401	Theory and Practice of Fieldwork for System Development                                                                 	7.5
ARB402	Theory and Practice of Fieldwork for System Development                                                                 	7.5
ARB403	Metodologier inom genusforskning                                                                                        	7.5
ARB701	Integrering av genusperspektiv i ekonomiutbildningen                                                                    	4.5
ARBX30	Kandidatarbete i MDA (10p/10p)                                                                                          	30
ARBX40	Magisterarbete i MDA (10p/10p)                                                                                          	30
ARBX41	Magisterarbete i MDA med inr mot arbetsvetenskap                                                                        	30
ASV101	Akutsjukvård                                                                                                            	30
ATC001	Neuropsykologi - strokerehabilitering                                                                                   	7.5
AÅL101	Att åldras med livskvalitet                                                                                             	7.5
BAO101	Barns och ungdomars ohälsa                                                                                              	7.5
BAS001	Matematik                                                                                                               	15
BAS002	Fysik                                                                                                                   	18
BAS003	Kemi och Miljövård                                                                                                      	6
BAS004	Teknikhistoria                                                                                                          	3
BAS005	Teknik                                                                                                                  	12
BAS006	Datalogi                                                                                                                	6
BAS007	Kemi                                                                                                                    	10.5
BAS008	Teknik för Tekniskt Basår                                                                                               	7.5
BAS009	Kemi                                                                                                                    	9
BAS010	Fysik                                                                                                                   	15
BAS011	Fysik                                                                                                                   	19.5
BAU101	Barns och ungdomars hälsa                                                                                               	7.5
BIO101	Biostatistik                                                                                                            	7.5
BSM101	BIOKEMISKA SEPARATIONSMETODER                                                                                           	15
BYT001	Teknik och juridik                                                                                                      	13.5
BYT002	Projektstyrning med datorstöd                                                                                           	4.5
BYT003	Förnyelseplanering av vatten och avloppsnät                                                                             	4.5
BYT004	Projektarbete                                                                                                           	7.5
CAO101	Cancervård med inriktning mot omvårdnad                                                                                 	30
CBI101	CELLBIOLOGI                                                                                                             	15
CCV101	Cancervård med inr, mot omvårdnad, 21-40 poäng                                                                          	30
DAB100	Grundkurs IT                                                                                                            	7.5
DAB101	Operativsystem/Datakommunikation                                                                                        	7.5
DAB102	Objektorienterad programmering och datastrukturer med Delphi                                                            	7.5
DAB104	Systemkonstruktion                                                                                                      	7.5
DAB114	Administrtiv systemutveckling                                                                                           	7.5
DAB201	Elektronisk handel                                                                                                      	7.5
DAB205	Systemvetenskaplig utredning                                                                                            	7.5
DAB206	Systemutvecklingsprojekt                                                                                                	7.5
DAB241	Operativsystem                                                                                                          	7.5
DAB301	Databasteknik II                                                                                                        	7.5
DAB302	Lokala nätverk                                                                                                          	7.5
DAB303	Elektronisk handel                                                                                                      	7.5
DAB308	Nätverkssäkerhet                                                                                                        	7.5
DABX25	Högskoleexamensarbete                                                                                                   	15
DABX26	Högskoleexamensarbete i ADB                                                                                             	7.5
DABX35	Kandidatarbete i ADB                                                                                                    	15
DABX36	Examensarbete                                                                                                           	15
DAD020	Datalogi, 2 poäng                                                                                                       	3
DAD022	Datalogi, 5 poäng                                                                                                       	7.5
DAD100	Datorn i vardagen                                                                                                       	7.5
DAD101	It och Internet                                                                                                         	3
DAD102	It och Internet                                                                                                         	4.5
DAD103	Grundläggande informationsbehandling                                                                                    	7.5
DAD104	Datorn i vardagen                                                                                                       	7.5
DAD105	Objektorienterad programmering och systemkonstruktion                                                                   	7.5
DAD106	Pascal och datastrukturer                                                                                               	7.5
DAD107	Datastrukturer och algoritmer                                                                                           	7.5
DAD108	Systemering I                                                                                                           	7.5
DAD109	Objektorienterad programmering i C++ f, adm, tillämpningar                                                              	7.5
DAD110	ADB, allmän kurs, 1-10 poäng                                                                                            	15
DAD111	ADB, allmän kurs, 1-10 poäng                                                                                            	15
DAD113	Informationsteknik                                                                                                      	7.5
DAD114	Administrativ systemutveckling                                                                                          	7.5
DAD115	Projektarbete i grupp                                                                                                   	15
DAD116	Databasteknik och Systemdesign                                                                                          	15
DAD117	Databasteknik med webbgränssnitt                                                                                        	7.5
DAD118	Individuellt programvaruprojekt                                                                                         	7.5
DAD120	ADB, allmän kurs, 11-20 poäng                                                                                           	15
DAD130	Systemering II för ekonomer                                                                                             	7.5
DAD131	Systemutveckling för ekonomer                                                                                           	7.5
DAD140	Datalogi I                                                                                                              	3
DAD141	Datalogi                                                                                                                	7.5
DAD144	Datalogi I                                                                                                              	9
DAD145	Datorteknik I                                                                                                           	3
DAD147	Datalogi                                                                                                                	6
DAD148	Datalogi I                                                                                                              	7.5
DAD149	Datorteknik                                                                                                             	4.5
DAD150	Datalogi                                                                                                                	6
DAD151	Datorkommunikation                                                                                                      	4.5
DAD152	Datorteknik II                                                                                                          	6
DAD153	Realtidsprogrammering                                                                                                   	6
DAD154	Datorkommunikation                                                                                                      	4.5
DAD155	Datorteknik I                                                                                                           	6
DAD156	Datorteknik II                                                                                                          	6
DAD157	Realtidsprogrammering                                                                                                   	6
DAD158	Datalogi II                                                                                                             	4.5
DAD161	Datastrukturer                                                                                                          	7.5
DAD162	Datalogi I                                                                                                              	7.5
DAD163	Informationsteknik                                                                                                      	4.5
DAD164	Analys- och designmetoder                                                                                               	6
DAD165	Digital- och datorteknik                                                                                                	7.5
DAD166	Datalogi I                                                                                                              	15
DAD167	Operativsystem med tillämpningar                                                                                        	12
DAD168	Individuellt programvaruprojekt                                                                                         	7.5
DAD169	Datalogi II                                                                                                             	15
DAD170	Grupprojekt                                                                                                             	15
DAD171	Stort projekt                                                                                                           	22.5
DAD172	Analys- och Designmetoder                                                                                               	7.5
DAD173	Operativsystem                                                                                                          	7.5
DAD174	Realtidsprogrammering                                                                                                   	7.5
DAD175	Informationsteknik                                                                                                      	7.5
DAD176	Digital- och datorteknik                                                                                                	7.5
DAD177	Objektorienterad systemutveckling                                                                                       	7.5
DAD178	Objektorienterad systemutveckling                                                                                       	7.5
DAD179	Individuellt programvaruprojekt                                                                                         	7.5
DAD180	Informationsteknik                                                                                                      	4.5
DAD181	Påbyggnad Informationsteknik                                                                                            	3
DAD182	Datalogi                                                                                                                	7.5
DAD183	Objektorienterad programmering i C++                                                                                    	7.5
DAD184	Objektorienterad programmering i C++                                                                                    	7.5
DAD185	Datastrukturer och algoritmer i C++                                                                                     	7.5
DAD186	Datastrukturer och algoritmer                                                                                           	7.5
DAD187	Datorteknik                                                                                                             	7.5
DAD188	C++ för programmerare                                                                                                   	7.5
DAD189	Automata och formella språk                                                                                             	7.5
DAD190	Människor Datateknik Arbetsliv                                                                                          	22.5
DAD191	Computers in Use                                                                                                        	22.5
DAD192	Människor Datateknik Arbetsliv                                                                                          	30
DAD193	Programmering                                                                                                           	7.5
DAD200	Databasteknik                                                                                                           	7.5
DAD201	Programvaruprojekt i grupp                                                                                              	15
DAD202	Relationsdatabaser och användargränssnitt                                                                               	7.5
DAD203	Individuellt programvaruprojekt                                                                                         	7.5
DAD204	Databasteknik                                                                                                           	7.5
DAD205	Systemering II                                                                                                          	7.5
DAD206	Databasteknik                                                                                                           	7.5
DAD207	Operativsystem                                                                                                          	7.5
DAD208	Artificiell Intelligens och logikprogrammering                                                                          	7.5
DAD209	Java                                                                                                                    	3
DAD211	Programmering av administrativa system                                                                                  	7.5
DAD212	Operativsystem och Databaser                                                                                            	7.5
DAD213	Databaser i användning                                                                                                  	7.5
DAD214	Datorer och lärande                                                                                                     	30
DAD220	Projektarbete                                                                                                           	15
DAD230	Expertsystem och beslutstödsystem                                                                                       	7.5
DAD231	Datorarkitektur och realtidsprogrammering                                                                               	7.5
DAD232	Analys och Design                                                                                                       	7.5
DAD233	Distribuerade system                                                                                                    	7.5
DAD234	Databasteknik och användargränssnitt                                                                                    	15
DAD235	Objektorienterade databaser                                                                                             	7.5
DAD236	Kompilator- och översättarteknik                                                                                        	7.5
DAD237	Datakommunikation                                                                                                       	7.5
DAD238	Systemvetenskapligt projekt                                                                                             	7.5
DAD239	Systemvetenskapligt projekt                                                                                             	7.5
DAD240	Distribuerade system                                                                                                    	7.5
DAD275	Operativsystem och realtidsprogrammering                                                                                	7.5
DAD287	Datorteknik II                                                                                                          	7.5
DAD290	Computers in Use I                                                                                                      	15
DAD301	Programutvecklingsmetodik och programvarukvalitet                                                                       	7.5
DAD302	Datakommunikation                                                                                                       	7.5
DAD303	Kunskapsteknologi                                                                                                       	7.5
DAD304	Logik och formella språk                                                                                                	7.5
DAD305	Logik och formella språk                                                                                                	7.5
DAD306	Fördjupningskurs, Datavetenskap                                                                                         	7.5
DAD307	Kandidatarbete för MDA                                                                                                  	15
DAD308	Projektarbete                                                                                                           	30
DAD309	Grundläggande systemutveckling                                                                                          	15
DAD310	DATABAS OCH DATAKOMMUNIKATION                                                                                           	7.5
DAD311	Realisering av administrativa system                                                                                    	7.5
DAD320	Datalogiskt projekt                                                                                                     	15
DAD401	Stort programvaruprojekt                                                                                                	30
DAD402	Requirements Engineering                                                                                                	7.5
DAD403	Software Metrics                                                                                                        	7.5
DAD404	Verification and Validation                                                                                             	7.5
DAD405	Logik (ADB)                                                                                                             	7.5
DAD406	Kognition                                                                                                               	7.5
DAD407	Metoder i programvaruutveckling                                                                                         	7.5
DAD408	Software Economics                                                                                                      	7.5
DAD409	Object Oriented Business Application                                                                                    	7.5
DAD410	Tillämpad artificiell intelligens                                                                                       	7.5
DAD415	Advanced Object-oriented Concepts                                                                                       	7.5
DAD416	Projektledning och kvalitetsstyrning                                                                                    	7.5
DAD920	Systemerarutbildning                                                                                                    	30
DADX51	Magisterarbete för MDA                                                                                                  	15
DADX61	Master's Thesis                                                                                                         	15
DADX62	Examensarbete                                                                                                           	22.5
DADX63	Examensarbete                                                                                                           	30
DAL100	Arbetslivets förändringar                                                                                               	7.5
DDM165	Diskret matematik                                                                                                       	9
DDV101	Objektorienterad programmering och datastrukturer                                                                       	7.5
DDV102	Programmering i C                                                                                                       	7.5
DDV103	Introduktion till C++ och datastrukturer                                                                                	7.5
DDV104	Programmering i Java                                                                                                    	7.5
DDV105	Avancerad analys och design                                                                                             	4.5
DDV106	Objektorienterad programmering och datastrukturer                                                                       	15
DDV107	Datastrukturer och algoritmer                                                                                           	7.5
DDV108	Systemutveckling I                                                                                                      	7.5
DDV109	Datastrukturer och algoritmer för IT-programmet                                                                         	7.5
DDV110	Människor Datateknik Arbetsliv                                                                                          	30
DDV111	Introduktion till datavetenskap på MDA                                                                                  	15
DDV112	Objektorienterad programmering i Java                                                                                   	7.5
DDV113	Informationskrigföring och säkerhet                                                                                     	7.5
DDV114	Interaktiv WWW-hantering                                                                                                	7.5
DDV115	Grundläggande IT och programmering i Java                                                                               	15
DDV116	Webbproduktion                                                                                                          	7.5
DDV117	Java Application                                                                                                        	7.5
DDV118	Databastekniker för webbproduktion                                                                                      	7.5
DDV119	Introduktion till datorsystem                                                                                           	7.5
DDV120	Objektorienterad programmering                                                                                          	15
DDV201	Realtidssystem                                                                                                          	7.5
DDV202	Databasteknik                                                                                                           	7.5
DDV203	Java för den som kan programmera                                                                                        	4.5
DDV204	Programmeringsparadigm                                                                                                  	7.5
DDV205	Java för den som kan programmera, fortsättningskurs                                                                     	3
DDV206	Datorer i användning / Programutvecklingsmetoder                                                                        	22.5
DDV207	Avancerad analys och design                                                                                             	4.5
DDV208	Java för programmerare                                                                                                  	7.5
DDV209	Systemteori                                                                                                             	7.5
DDV210	Komponentbaserad programutveckling i Java                                                                               	4.5
DDV215	Work Practice, Design och programvaruutveckling                                                                         	22.5
DDV242	Komponentbaserad databasutveckling                                                                                      	7.5
DDV300	Human Computer Interaction                                                                                              	7.5
DDV301	It-mognad med inriktning mot datavetenskap                                                                              	7.5
DDV302	Systemutveckling med brukarmedverkan                                                                                    	15
DDV303	Participatory and Evolutionary Software Development                                                                     	7.5
